ms,s,p,v,dv0,dv1,dv2,dv3,sum
227.0,0.227,-4.27,0.0,0.62,0.0,0.0,0.35,0.97
329.0,0.329,-4.27,0.0,0.5,0.0,0.0,0.42,0.9199999999999999
436.0,0.436,-4.25,0.0,0.61,0.0,0.0,0.53,1.1400000000000001
538.0,0.538,1.08,4.66,0.68,0.0,0.0,0.32,1.0
641.0,0.641,-0.47,0.0,0.61,0.0,0.0,0.39,1.0
743.0,0.743,-0.68,0.0,0.62,0.0,0.0,0.44,1.06
845.0,0.845,1.08,4.66,0.63,0.0,0.0,0.33,0.96
948.0,0.948,-4.27,0.0,0.52,0.0,0.0,0.47,0.99
1050.0,1.05,1.53,5.54,0.66,0.0,0.0,0.29,0.95
1154.0,1.154,-2.57,0.0,0.68,0.0,0.01,0.46,1.1500000000000001
1256.0,1.256,0.74,3.86,0.63,0.0,0.0,0.39,1.02
1359.0,1.359,0.8,4.01,0.66,0.0,0.0,0.38,1.04
1462.0,1.462,0.91,4.28,0.7,0.0,0.0,0.34,1.04
1565.0,1.565,0.3,2.44,0.56,0.0,0.0,0.42,0.98
1669.0,1.669,0.52,3.23,0.6,0.0,0.0,0.36,0.96
1772.0,1.772,0.8,4.01,0.65,0.0,0.0,0.38,1.03
1879.0,1.879,-4.27,0.0,0.54,0.0,0.0,0.42,0.96
1979.0,1.979,1.47,5.44,0.64,0.0,0.0,0.26,0.9
2080.0,2.08,-2.15,0.0,0.69,0.0,0.0,0.41,1.0999999999999999
2181.0,2.181,1.13,4.77,0.58,0.0,0.0,0.38,0.96
2282.0,2.282,-0.68,0.0,0.56,0.0,0.0,0.41,0.97
2382.0,2.382,-0.08,0.0,0.62,0.0,0.0,0.42,1.04
2483.0,2.483,1.2,4.9,0.61,0.0,0.0,0.38,0.99
2584.0,2.584,-3.83,0.0,0.63,0.0,0.0,0.42,1.05
2684.0,2.684,2.71,7.38,0.69,0.0,0.0,0.25,0.94
2786.0,2.786,1.47,5.44,0.66,0.0,0.0,0.39,1.05
2887.0,2.887,1.25,5.02,0.6,0.0,0.0,0.4,1.0
2989.0,2.989,-0.47,0.0,0.53,0.0,0.0,0.42,0.95
3089.0,3.089,1.87,6.13,0.63,0.0,0.0,0.27,0.9
3190.0,3.19,-4.27,0.0,0.6,0.0,0.0,0.35,0.95
3291.0,3.291,0.58,3.41,0.59,0.0,0.0,0.35,0.94
3395.0,3.395,0.02,0.65,0.66,0.0,0.0,0.38,1.04
3497.0,3.497,0.3,2.44,0.63,0.0,0.0,0.42,1.05
3599.0,3.599,-4.27,0.0,0.57,0.0,0.0,0.44,1.01
3699.0,3.699,0.63,3.57,0.57,0.0,0.0,0.29,0.8599999999999999
3801.0,3.801,0.3,2.44,0.66,0.0,0.0,0.36,1.02
3902.0,3.902,0.24,2.18,0.63,0.0,0.0,0.39,1.02
4003.0,4.003,-2.57,0.0,0.56,0.0,0.0,0.39,0.9500000000000001
4104.0,4.104,0.52,3.23,0.6,0.0,0.0,0.34,0.94
4205.0,4.205,-0.68,0.0,0.65,0.0,0.0,0.44,1.09
4305.0,4.305,1.13,4.77,0.63,0.0,0.0,0.35,0.98
4407.0,4.407,-0.47,0.0,0.6,0.0,0.01,0.4,1.01
4507.0,4.507,0.24,2.18,0.55,0.0,0.0,0.39,0.9400000000000001
4609.0,4.609,0.97,4.42,0.63,0.0,0.0,0.36,0.99
4710.0,4.71,-1.94,0.0,0.66,0.0,0.0,0.41,1.07
4813.0,4.813,-0.89,0.0,0.63,0.0,0.0,0.36,0.99
4914.0,4.914,-0.68,0.0,0.62,0.0,0.0,0.41,1.03
5014.0,5.014,0.86,4.15,0.63,0.0,0.0,0.27,0.9
5115.0,5.115,0.92,4.29,0.78,0.12,0.0,0.25,1.15
5217.0,5.217,-4.25,0.0,0.73,0.45,0.02,0.62,1.8199999999999998
5317.0,5.317,-2.57,0.0,0.85,0.56,0.0,0.38,1.79
5419.0,5.419,-4.27,0.0,0.8,1.03,0.0,0.21,2.04
5519.0,5.519,-4.27,0.0,0.81,1.09,0.0,0.24,2.14
5619.0,5.619,0.52,3.25,0.88,1.14,0.0,0.23,2.25
5721.0,5.721,-4.27,0.0,0.9,1.03,0.02,0.38,2.33
5821.0,5.821,0.69,3.72,0.81,1.03,0.09,0.58,2.5100000000000002
5922.0,5.922,-4.27,0.0,0.8,0.93,0.25,0.73,2.71
6023.0,6.023,0.18,1.92,0.74,0.82,0.4,0.9,2.86
6124.0,6.124,-2.99,0.0,0.74,0.85,0.37,1.03,2.99
6228.0,6.228,-4.27,0.0,0.76,0.77,0.38,0.95,2.8600000000000003
6329.0,6.329,0.24,2.18,0.81,0.82,0.34,0.95,2.92
6430.0,6.43,-4.27,0.0,0.76,0.83,0.36,0.96,2.9099999999999997
6531.0,6.531,-4.27,0.0,0.7,0.85,0.38,1.03,2.96
6631.0,6.631,0.02,0.65,0.81,0.82,0.32,0.9,2.85
6732.0,6.732,-3.2,0.0,0.74,0.81,0.4,0.97,2.92
6833.0,6.833,1.36,5.23,0.77,0.83,0.42,1.03,3.05
6934.0,6.934,-4.25,0.0,0.74,0.8,0.43,1.0,2.9699999999999998
7034.0,7.034,0.92,4.29,0.71,0.78,0.35,0.98,2.82
7136.0,7.136,-4.27,0.0,0.76,0.82,0.35,0.97,2.9000000000000004
7236.0,7.236,-4.27,0.0,0.72,0.87,0.37,1.02,2.98
7337.0,7.337,-4.27,0.0,0.74,0.82,0.4,0.97,2.9299999999999997
7438.0,7.438,-0.26,0.0,0.78,0.81,0.34,0.95,2.88
7538.0,7.538,-3.83,0.0,0.77,0.84,0.38,1.02,3.01
7642.0,7.642,-4.27,0.0,0.74,0.83,0.36,0.98,2.9099999999999997
7742.0,7.742,1.31,5.14,0.8,0.83,0.32,0.93,2.88
7843.0,7.843,-0.08,0.0,0.73,0.82,0.41,0.99,2.9499999999999997
7944.0,7.944,-4.27,0.0,0.7,0.79,0.42,1.06,2.9699999999999998
8044.0,8.044,0.35,2.65,0.74,0.83,0.42,1.1,3.09
8145.0,8.145,-0.68,0.0,0.7,0.74,0.38,1.04,2.86
8246.0,8.246,-1.31,0.0,0.7,0.75,0.37,1.02,2.84
8346.0,8.346,0.8,4.02,0.71,0.83,0.41,1.12,3.0700000000000003
8448.0,8.448,-4.27,0.0,0.69,0.72,0.44,1.08,2.9299999999999997
8548.0,8.548,1.26,5.03,0.73,0.73,0.35,0.97,2.7800000000000002
8649.0,8.649,-3.41,0.0,0.72,0.8,0.34,0.97,2.83
8750.0,8.75,-4.27,0.0,0.7,0.83,0.36,1.0,2.8899999999999997
8850.0,8.85,1.03,4.55,0.83,0.84,0.31,0.92,2.9
8951.0,8.951,-4.27,0.0,0.72,0.81,0.34,0.92,2.79
9052.0,9.052,0.3,2.44,0.8,0.89,0.38,0.97,3.04
9156.0,9.156,-2.78,0.0,0.79,0.87,0.38,0.94,2.98
9257.0,9.257,0.47,3.06,0.76,0.83,0.36,0.94,2.8899999999999997
9359.0,9.359,-4.27,0.0,0.75,0.8,0.4,0.99,2.9400000000000004
9459.0,9.459,2.04,6.4,0.79,0.85,0.42,1.05,3.1100000000000003
9561.0,9.561,-4.27,0.0,0.72,0.77,0.43,1.0,2.92
9661.0,9.661,2.04,6.4,0.72,0.77,0.37,0.98,2.84
9762.0,9.762,0.63,3.56,0.71,0.81,0.41,1.05,2.98
9864.0,9.864,-4.27,0.0,0.69,0.82,0.38,1.06,2.9499999999999997
9964.0,9.964,-1.31,0.0,0.79,0.84,0.33,0.96,2.92
10064.0,10.064,-4.27,0.0,0.73,0.83,0.42,1.09,3.0700000000000003
10165.0,10.165,-0.08,0.0,0.79,0.81,0.41,1.08,3.0900000000000003
10265.0,10.265,-2.15,0.0,0.71,0.72,0.3,1.01,2.74
10366.0,10.366,1.08,4.65,0.7,0.75,0.34,0.99,2.7800000000000002
10468.0,10.468,1.14,4.79,0.72,0.79,0.36,1.0,2.87
10573.0,10.573,-4.27,0.0,0.71,0.86,0.36,0.99,2.92
10675.0,10.675,-0.26,0.0,0.74,0.79,0.31,0.93,2.77
10776.0,10.776,1.2,4.9,0.78,0.83,0.39,0.98,2.98
10878.0,10.878,-3.62,0.0,0.75,0.84,0.42,1.04,3.05
10980.0,10.98,-1.94,0.0,0.74,0.79,0.35,0.99,2.87
11081.0,11.081,0.18,1.92,0.78,0.82,0.29,0.96,2.85
11183.0,11.183,-4.27,0.0,0.7,0.83,0.34,0.99,2.86
11284.0,11.284,0.74,3.86,0.76,0.87,0.37,1.03,3.0300000000000002
11385.0,11.385,-4.27,0.0,0.73,0.76,0.42,0.98,2.8899999999999997
11487.0,11.487,0.47,3.06,0.75,0.79,0.38,0.98,2.9
11588.0,11.588,0.35,2.65,0.72,0.82,0.4,0.97,2.91
11691.0,11.691,-3.41,0.0,0.68,0.83,0.4,1.04,2.95
11792.0,11.792,0.69,3.72,0.79,0.79,0.28,0.9,2.7600000000000002
11893.0,11.893,0.02,0.65,0.76,0.75,0.36,0.93,2.8000000000000003
11999.0,11.999,-4.27,0.0,0.75,0.79,0.32,0.93,2.79
12100.0,12.1,-0.08,0.0,0.74,0.87,0.36,0.97,2.9399999999999995
12203.0,12.203,-4.25,0.0,0.71,0.8,0.36,0.98,2.85
12304.0,12.304,0.3,2.44,0.75,0.79,0.36,0.92,2.82
12405.0,12.405,1.2,4.9,0.77,0.85,0.37,0.99,2.9800000000000004
12507.0,12.507,-3.62,0.0,0.69,0.84,0.36,0.98,2.8699999999999997
12608.0,12.608,0.24,2.18,0.78,0.82,0.29,0.9,2.79
12709.0,12.709,-4.27,0.0,0.75,0.79,0.35,0.92,2.81
12811.0,12.811,1.03,4.55,0.73,0.86,0.38,1.03,3.0
12913.0,12.913,-2.57,0.0,0.75,0.8,0.42,0.97,2.94
13015.0,13.015,0.74,3.86,0.72,0.8,0.35,0.95,2.8200000000000003
13116.0,13.116,0.63,3.56,0.76,0.83,0.37,0.98,2.94
13217.0,13.217,-4.27,0.0,0.7,0.85,0.34,0.96,2.8499999999999996
13322.0,13.322,1.2,4.9,0.81,0.83,0.27,0.83,2.74
13423.0,13.423,-4.27,0.0,0.73,0.83,0.33,0.92,2.81
13526.0,13.526,-1.73,0.0,0.76,0.89,0.38,0.98,3.01
13627.0,13.627,0.63,3.56,0.74,0.83,0.3,0.87,2.7399999999999998
13728.0,13.728,-4.27,0.0,0.75,0.82,0.34,0.9,2.81
13830.0,13.83,1.08,4.65,0.76,0.84,0.38,1.01,2.99
13931.0,13.931,-4.27,0.0,0.72,0.76,0.43,1.01,2.92
14032.0,14.032,0.92,4.29,0.71,0.76,0.36,0.98,2.81
14134.0,14.134,-4.04,0.0,0.73,0.8,0.34,0.97,2.84
14235.0,14.235,-1.52,0.0,0.73,0.85,0.37,1.01,2.96
14337.0,14.337,0.47,3.06,0.74,0.8,0.39,0.95,2.88
14438.0,14.438,0.98,4.43,0.77,0.8,0.34,0.95,2.8600000000000003
14539.0,14.539,-4.27,0.0,0.74,0.81,0.35,0.95,2.8499999999999996
14641.0,14.641,-0.26,0.0,0.74,0.82,0.39,1.02,2.97
14745.0,14.745,-4.27,0.0,0.71,0.76,0.43,1.01,2.91
14848.0,14.848,0.12,1.58,0.7,0.79,0.36,0.99,2.84
14949.0,14.949,-1.31,0.0,0.72,0.81,0.42,1.03,2.98
15050.0,15.05,-1.1,0.0,0.67,0.76,0.38,1.08,2.89
15152.0,15.152,0.98,4.43,0.76,0.75,0.31,0.99,2.81
15253.0,15.253,-4.27,0.0,0.65,0.74,0.35,1.0,2.74
15354.0,15.354,0.8,4.02,0.72,0.84,0.38,1.03,2.9699999999999998
15456.0,15.456,1.14,4.79,0.73,0.79,0.38,0.95,2.8499999999999996
15558.0,15.558,1.26,5.03,0.74,0.8,0.33,0.94,2.81
