ms,s,p,v,dv0,dv1,dv2,dv3,sum
608.0,0.608,-4.27,0.0,0.44,0.01,0.08,0.31,0.8400000000000001
707.0,0.707,0.74,3.86,0.49,0.0,0.02,0.14,0.65
808.0,0.808,0.57,3.39,0.54,0.0,0.01,0.18,0.73
909.0,0.909,-1.52,0.0,0.53,0.0,0.06,0.2,0.79
1008.0,1.008,-0.47,0.0,0.46,0.0,0.0,0.2,0.66
1108.0,1.108,1.75,5.94,0.48,0.0,0.0,0.16,0.64
1209.0,1.209,-1.31,0.0,0.5,0.0,0.0,0.24,0.74
1308.0,1.308,0.52,3.22,0.56,0.0,0.08,0.11,0.75
1409.0,1.409,1.47,5.44,0.52,0.0,0.06,0.23,0.81
1509.0,1.509,0.57,3.39,0.52,0.0,0.12,0.27,0.91
1609.0,1.609,0.47,3.06,0.51,0.0,0.05,0.18,0.74
1710.0,1.71,-0.07,0.0,0.53,0.0,0.0,0.21,0.74
1809.0,1.809,-3.4,0.0,0.52,0.01,0.0,0.23,0.76
1908.0,1.908,1.64,5.74,0.51,0.0,0.0,0.12,0.63
2012.0,2.012,0.74,3.86,0.52,0.0,0.0,0.17,0.6900000000000001
2112.0,2.112,1.31,5.13,0.51,0.0,0.0,0.14,0.65
2210.0,2.21,-2.15,0.0,0.52,0.0,0.01,0.21,0.74
2309.0,2.309,0.91,4.28,0.49,0.0,0.02,0.18,0.69
2407.0,2.407,0.97,4.42,0.5,0.0,0.0,0.1,0.6
2505.0,2.505,-3.62,0.0,0.5,0.0,0.0,0.25,0.75
2604.0,2.604,0.85,4.14,0.47,0.0,0.0,0.17,0.64
2702.0,2.702,1.58,5.64,0.47,0.0,0.05,0.26,0.78
2800.0,2.8,-4.27,0.0,0.47,0.0,0.0,0.22,0.69
2899.0,2.899,0.52,3.22,0.51,0.0,0.0,0.17,0.68
2998.0,2.998,-0.08,0.0,0.45,0.0,0.02,0.22,0.6900000000000001
3096.0,3.096,-2.99,0.0,0.52,0.0,0.02,0.16,0.7000000000000001
3194.0,3.194,0.02,0.65,0.51,0.0,0.0,0.15,0.66
3293.0,3.293,0.3,2.44,0.49,0.0,0.06,0.24,0.79
3394.0,3.394,-1.73,0.0,0.5,0.0,0.04,0.22,0.76
3492.0,3.492,0.8,4.01,0.51,0.0,0.0,0.12,0.63
3591.0,3.591,0.63,3.57,0.45,0.0,0.0,0.18,0.63
3689.0,3.689,-4.25,0.0,0.56,0.0,0.04,0.17,0.7700000000000001
3787.0,3.787,0.74,3.86,0.51,0.0,0.07,0.12,0.7000000000000001
3886.0,3.886,0.47,3.06,0.54,0.0,0.0,0.13,0.67
3984.0,3.984,-4.27,0.0,0.52,0.0,0.02,0.24,0.78
4082.0,4.082,-0.47,0.0,0.57,0.0,0.02,0.09,0.6799999999999999
4182.0,4.182,1.64,5.74,0.57,0.0,0.0,0.0,0.57
4280.0,4.28,0.35,2.65,0.5,0.0,0.0,0.14,0.64
4378.0,4.378,-2.57,0.0,0.54,0.0,0.0,0.17,0.7100000000000001
4476.0,4.476,1.13,4.77,0.55,0.0,0.0,0.09,0.64
4575.0,4.575,0.24,2.18,0.53,0.0,0.0,0.08,0.61
4673.0,4.673,-4.27,0.0,0.5,0.0,0.0,0.18,0.6799999999999999
4771.0,4.771,-4.27,0.0,0.43,0.0,0.0,0.24,0.6699999999999999
4872.0,4.872,1.08,4.66,0.54,0.01,0.0,0.15,0.7000000000000001
4970.0,4.97,0.02,0.65,0.45,0.0,0.04,0.23,0.72
5068.0,5.068,-1.73,0.0,0.57,0.0,0.12,0.16,0.85
5167.0,5.167,1.87,6.13,0.46,0.0,0.0,0.19,0.65
5265.0,5.265,-2.15,0.0,0.45,0.01,0.0,0.22,0.68
5363.0,5.363,-4.25,0.0,0.5,0.02,0.0,0.25,0.77
5462.0,5.462,0.97,4.42,0.49,0.0,0.0,0.18,0.6699999999999999
5560.0,5.56,0.18,1.92,0.58,0.0,0.09,0.19,0.8599999999999999
5658.0,5.658,-1.73,0.0,0.45,0.02,0.01,0.26,0.74
5756.0,5.756,1.42,5.34,0.52,0.04,0.0,0.17,0.7300000000000001
5855.0,5.855,-1.73,0.0,0.9,0.34,0.05,0.26,1.55
5953.0,5.953,0.69,3.72,0.66,0.19,0.03,0.06,0.9400000000000002
6051.0,6.051,0.8,4.01,0.59,0.63,0.0,0.32,1.54
6150.0,6.15,1.03,4.55,0.86,0.53,0.14,0.28,1.8100000000000003
6251.0,6.251,-3.83,0.0,0.73,0.84,0.27,0.39,2.23
6349.0,6.349,1.65,5.75,0.6,0.94,0.29,0.88,2.71
6449.0,6.449,0.3,2.44,0.7,0.93,0.38,0.62,2.63
6548.0,6.548,0.92,4.29,0.64,0.9,0.36,0.8,2.7
6646.0,6.646,0.18,1.92,0.6,0.95,0.37,0.81,2.73
6745.0,6.745,-0.47,0.0,0.54,0.94,0.37,0.91,2.7600000000000002
