ms,s,p,v,dv0,dv1,dv2,dv3,sum
219,0.219,0.69,3.72,0.39,0.11,0.27,0.0,0.77
322,0.322,1.15,4.81,0.41,0.09,0.21,0.0,0.71
425,0.425,-1.11,0.0,0.35,0.08,0.14,0.0,0.5700000000000001
528,0.528,-4.27,0.0,0.39,0.09,0.1,0.0,0.58
630,0.63,-1.74,0.0,0.38,0.11,0.09,0.0,0.58
733,0.733,-4.27,0.0,0.33,0.12,0.21,0.0,0.66
835,0.835,-4.27,0.0,0.32,0.18,0.18,0.0,0.6799999999999999
939,0.939,-4.27,0.0,0.32,0.15,0.14,0.0,0.61
1041,1.041,-4.27,0.0,0.4,0.11,0.19,0.0,0.7
1143,1.143,-4.27,0.0,0.36,0.2,0.27,0.09,0.92
1246,1.246,-4.27,0.0,0.39,0.14,0.21,0.11,0.85
1348,1.348,-4.27,0.0,0.41,0.16,0.29,0.13,0.9899999999999999
1455,1.455,-4.27,0.0,0.4,0.16,0.2,0.1,0.86
1557,1.557,-4.27,0.0,0.37,0.2,0.3,0.14,1.0100000000000002
1659,1.659,0.69,3.73,0.35,0.19,0.37,0.07,0.98
1763,1.763,1.27,5.05,0.36,0.17,0.35,0.06,0.94
1866,1.866,0.59,3.44,0.34,0.17,0.28,0.06,0.8500000000000001
1969,1.969,0.93,4.32,0.39,0.13,0.06,0.0,0.5800000000000001
2070,2.07,0.18,1.92,0.4,0.07,0.13,0.0,0.6000000000000001
2171,2.171,1.9,6.17,0.38,0.04,0.17,0.0,0.59
2273,2.273,-2.17,0.0,0.42,0.02,0.15,0.0,0.59
2373,2.373,-4.27,0.0,0.41,0.11,0.21,0.0,0.73
2475,2.475,-1.53,0.0,0.3,0.16,0.3,0.08,0.84
2575,2.575,0.42,2.89,0.38,0.14,0.19,0.14,0.85
2676,2.676,0.7,3.74,0.36,0.1,0.25,0.0,0.71
2778,2.778,1.95,6.26,0.43,0.04,0.22,0.0,0.69
2882,2.882,-0.27,0.0,0.44,0.05,0.24,0.0,0.73
2982,2.982,-4.27,0.0,0.44,0.09,0.12,0.0,0.65
3083,3.083,-4.27,0.0,0.38,0.14,0.12,0.0,0.64
3183,3.183,-4.27,0.0,0.35,0.1,0.11,0.0,0.5599999999999999
3284,3.284,-0.9,0.0,0.39,0.04,0.09,0.0,0.52
