ms,s,p,v,dv0,dv1,dv2,dv3,sum
613,0.613,1.09,4.67,0.69,0.0,0.0,0.46,1.15
714,0.714,1.2,4.92,0.75,0.0,0.0,0.48,1.23
816,0.816,0.75,3.88,0.75,0.0,0.0,0.58,1.33
917,0.917,0.13,1.61,0.65,0.0,0.0,0.6,1.25
1018,1.018,0.42,2.89,0.75,0.0,0.0,0.49,1.24
1120,1.12,-3.85,0.0,0.75,0.0,0.0,0.59,1.3399999999999999
1220,1.22,-3.0,0.0,0.74,0.0,0.0,0.5,1.24
1321,1.321,1.49,5.47,0.66,0.0,0.0,0.6,1.26
1423,1.423,0.3,2.44,0.73,0.0,0.0,0.56,1.29
1524,1.524,0.47,3.08,0.7,0.0,0.0,0.52,1.22
1626,1.626,0.98,4.44,0.73,0.0,0.0,0.63,1.3599999999999999
1727,1.727,-4.27,0.0,0.69,0.0,0.0,0.6,1.29
1827,1.827,0.87,4.17,0.72,0.0,0.0,0.5,1.22
1929,1.929,-1.53,0.0,0.72,0.0,0.0,0.44,1.16
2033,2.033,-0.48,0.0,0.66,0.0,0.0,0.42,1.08
2134,2.134,0.75,3.88,0.68,0.0,0.0,0.46,1.1400000000000001
2233,2.233,-2.38,0.0,0.73,0.0,0.0,0.42,1.15
2331,2.331,-4.27,0.0,0.63,0.0,0.0,0.52,1.15
2430,2.43,0.75,3.88,0.73,0.0,0.0,0.46,1.19
2530,2.53,-1.11,0.0,0.72,0.0,0.0,0.48,1.2
2628,2.628,-3.22,0.0,0.69,0.0,0.0,0.65,1.3399999999999999
2726,2.726,0.47,3.08,0.69,0.0,0.0,0.56,1.25
2826,2.826,0.81,4.04,0.69,0.0,0.0,0.58,1.27
2925,2.925,-3.22,0.0,0.74,0.0,0.0,0.51,1.25
3023,3.023,1.27,5.05,0.75,0.0,0.0,0.5,1.25
3123,3.123,-3.22,0.0,0.69,0.0,0.0,0.51,1.2
3221,3.221,0.24,2.18,0.82,0.0,0.0,0.29,1.1099999999999999
3320,3.32,0.81,4.04,0.71,0.0,0.0,0.45,1.16
3423,3.423,0.02,0.58,0.71,0.0,0.0,0.48,1.19
3522,3.522,1.15,4.81,0.68,0.0,0.0,0.51,1.19
3621,3.621,-1.74,0.0,0.73,0.0,0.0,0.51,1.24
3720,3.72,-3.01,0.0,0.69,0.0,0.0,0.54,1.23
3818,3.818,-1.11,0.0,0.74,0.0,0.0,0.28,1.02
