ms,s,p,v,dv0,dv1,dv2,dv3,sum
598,0.598,-4.27,0.0,0.36,0.16,0.26,0.04,0.8200000000000001
697,0.697,0.02,0.58,0.36,0.22,0.17,0.02,0.77
797,0.797,-1.53,0.0,0.43,0.16,0.36,0.05,1.0
897,0.897,0.13,1.61,0.44,0.14,0.25,0.0,0.8300000000000001
997,0.997,-2.38,0.0,0.44,0.12,0.29,0.07,0.9200000000000002
1096,1.096,-3.64,0.0,0.35,0.17,0.31,0.08,0.91
1196,1.196,-2.38,0.0,0.37,0.15,0.12,0.01,0.65
1295,1.295,-4.27,0.0,0.33,0.18,0.24,0.09,0.84
1394,1.394,1.9,6.17,0.44,0.14,0.22,0.0,0.8
1495,1.495,-2.17,0.0,0.41,0.19,0.35,0.09,1.04
1594,1.594,-0.08,0.0,0.41,0.21,0.18,0.03,0.8300000000000001
1693,1.693,-4.27,0.0,0.41,0.21,0.26,0.08,0.96
1793,1.793,0.24,2.18,0.43,0.18,0.29,0.01,0.9099999999999999
1893,1.893,-1.11,0.0,0.37,0.21,0.18,0.01,0.77
1996,1.996,-3.85,0.0,0.42,0.18,0.28,0.08,0.96
2096,2.096,0.42,2.89,0.37,0.17,0.24,0.02,0.8
2194,2.194,0.02,0.58,0.44,0.1,0.22,0.0,0.76
2292,2.292,-2.17,0.0,0.38,0.16,0.26,0.09,0.89
2391,2.391,-0.08,0.0,0.38,0.16,0.2,0.0,0.74
2489,2.489,-3.85,0.0,0.43,0.17,0.34,0.12,1.06
2587,2.587,0.53,3.26,0.41,0.13,0.2,0.0,0.74
2686,2.686,-4.27,0.0,0.43,0.14,0.25,0.0,0.8200000000000001
2785,2.785,-0.08,0.0,0.42,0.19,0.28,0.01,0.9
2883,2.883,-3.85,0.0,0.34,0.2,0.27,0.06,0.8700000000000001
2981,2.981,0.02,0.58,0.42,0.2,0.36,0.11,1.09
3080,3.08,0.75,3.89,0.44,0.14,0.29,0.02,0.8900000000000001
3178,3.178,-1.11,0.0,0.41,0.14,0.31,0.04,0.9000000000000001
3276,3.276,-2.59,0.0,0.42,0.17,0.27,0.12,0.98
3375,3.375,0.18,1.92,0.39,0.17,0.23,0.0,0.79
3471,3.471,-4.27,0.0,0.36,0.17,0.24,0.05,0.8200000000000001
3569,3.569,-1.11,0.0,0.36,0.19,0.2,0.03,0.78
3668,3.668,-1.11,0.0,0.4,0.15,0.21,0.0,0.76
3767,3.767,-4.27,0.0,0.38,0.19,0.27,0.09,0.93
3865,3.865,0.75,3.89,0.46,0.14,0.21,0.0,0.81
3963,3.963,-4.27,0.0,0.41,0.15,0.25,0.05,0.86
4062,4.062,-1.96,0.0,0.45,0.15,0.23,0.01,0.84
4160,4.16,0.02,0.58,0.47,0.14,0.28,0.0,0.89
4258,4.258,-1.75,0.0,0.47,0.14,0.23,0.08,0.9199999999999999
4357,4.357,0.87,4.18,0.39,0.16,0.24,0.0,0.79
4455,4.455,-2.8,0.0,0.33,0.16,0.25,0.08,0.82
4553,4.553,-1.11,0.0,0.42,0.17,0.18,0.0,0.77
4652,4.652,0.64,3.58,0.42,0.17,0.34,0.07,1.0
4750,4.75,0.42,2.89,0.44,0.13,0.25,0.0,0.8200000000000001
4851,4.851,-4.27,0.0,0.35,0.14,0.27,0.05,0.81
4950,4.95,-4.27,0.0,0.35,0.19,0.27,0.06,0.8700000000000001
5048,5.048,1.1,4.69,0.43,0.19,0.23,0.0,0.85
5146,5.146,-2.8,0.0,0.36,0.15,0.31,0.03,0.8500000000000001
5244,5.244,-0.69,0.0,0.34,0.18,0.31,0.05,0.8800000000000001
5343,5.343,-3.86,0.0,0.39,0.18,0.21,0.02,0.8
5441,5.441,-2.38,0.0,0.36,0.18,0.32,0.06,0.9200000000000002
5539,5.539,-0.48,0.0,0.41,0.19,0.27,0.05,0.92
5638,5.638,0.81,4.04,0.43,0.17,0.15,0.0,0.75
5736,5.736,-4.27,0.0,0.34,0.16,0.33,0.06,0.8900000000000001
5834,5.834,0.7,3.74,0.45,0.12,0.19,0.0,0.76
5933,5.933,1.33,5.17,0.42,0.13,0.19,0.0,0.74
6031,6.031,-4.27,0.0,0.36,0.18,0.28,0.08,0.9
6129,6.129,0.3,2.46,0.47,0.15,0.17,0.0,0.79
6231,6.231,-4.27,0.0,0.48,0.17,0.32,0.08,1.05
6329,6.329,-0.27,0.0,0.44,0.12,0.31,0.0,0.8700000000000001
6427,6.427,1.33,5.17,0.4,0.15,0.28,0.0,0.8300000000000001
6526,6.526,0.65,3.6,0.4,0.14,0.29,0.07,0.9000000000000001
6625,6.625,-2.8,0.0,0.44,0.14,0.25,0.0,0.8300000000000001
6723,6.723,-3.02,0.0,0.43,0.12,0.35,0.01,0.91
6821,6.821,0.65,3.6,0.44,0.14,0.28,0.06,0.9200000000000002
6920,6.92,-4.07,0.0,0.41,0.11,0.26,0.0,0.78
7018,7.018,2.19,6.63,0.44,0.16,0.26,0.05,0.91
7116,7.116,-1.54,0.0,0.44,0.12,0.33,0.09,0.9800000000000001
7215,7.215,-1.96,0.0,0.42,0.1,0.18,0.0,0.7
7313,7.313,-0.9,0.0,0.42,0.17,0.25,0.03,0.87
7411,7.411,-4.27,0.0,0.43,0.15,0.33,0.08,0.9899999999999999
7510,7.51,-0.48,0.0,0.43,0.13,0.27,0.0,0.8300000000000001
7610,7.61,-3.02,0.0,0.43,0.14,0.33,0.04,0.9400000000000002
7708,7.708,-4.27,0.0,0.43,0.13,0.3,0.07,0.9300000000000002
7808,7.808,0.81,4.04,0.4,0.11,0.28,0.0,0.79
7906,7.906,0.48,3.1,0.44,0.14,0.3,0.03,0.9100000000000001
8004,8.004,-4.27,0.0,0.46,0.13,0.25,0.05,0.8900000000000001
8102,8.102,-3.86,0.0,0.38,0.15,0.3,0.01,0.8400000000000001
8201,8.201,-1.75,0.0,0.44,0.18,0.25,0.01,0.88
8299,8.299,-4.27,0.0,0.42,0.2,0.32,0.0,0.94
8397,8.397,-3.02,0.0,0.42,0.21,0.28,0.0,0.91
8496,8.496,-3.44,0.0,0.4,0.21,0.26,0.0,0.87
8594,8.594,-4.27,0.0,0.44,0.21,0.25,0.04,0.9400000000000001
8692,8.692,-1.54,0.0,0.42,0.22,0.27,0.0,0.91
8791,8.791,-4.27,0.0,0.38,0.27,0.22,0.0,0.87
8889,8.889,0.53,3.26,0.41,0.34,0.13,0.0,0.88
8990,8.99,-4.27,0.0,0.43,0.49,0.29,0.0,1.21
9089,9.089,-0.69,0.0,0.65,0.74,0.25,0.0,1.6400000000000001
9187,9.187,0.93,4.32,0.76,1.01,0.28,0.0,2.05
9285,9.285,0.02,0.65,0.72,1.04,0.33,0.0,2.09
9384,9.384,0.47,3.09,0.7,1.17,0.4,0.0,2.27
9483,9.483,-3.44,0.0,0.65,1.02,0.55,0.18,2.4
9581,9.581,-4.27,0.0,0.59,0.94,0.63,0.49,2.6499999999999995
9679,9.679,-4.27,0.0,0.67,0.96,0.64,0.48,2.75
9778,9.778,-4.27,0.0,0.58,0.94,0.71,0.62,2.85
9876,9.876,-1.33,0.0,0.64,0.94,0.72,0.6,2.9
9974,9.974,-1.75,0.0,0.58,0.88,0.73,0.62,2.81
