ms,s,p,v,dv0,dv1,dv2,dv3,sum
220,0.22,-4.27,0.0,0.36,0.11,0.27,0.09,0.83
322,0.322,1.03,4.56,0.31,0.06,0.22,0.0,0.59
425,0.425,-3.84,0.0,0.27,0.12,0.16,0.04,0.5900000000000001
528,0.528,-0.47,0.0,0.31,0.12,0.24,0.0,0.6699999999999999
648,0.648,-0.27,0.0,0.29,0.15,0.27,0.01,0.72
749,0.749,0.98,4.44,0.3,0.19,0.11,0.04,0.64
852,0.852,-4.27,0.0,0.29,0.11,0.18,0.01,0.59
955,0.955,1.65,5.77,0.38,0.11,0.1,0.0,0.59
1057,1.057,0.86,4.16,0.31,0.07,0.19,0.02,0.5900000000000001
1160,1.16,1.37,5.26,0.33,0.11,0.2,0.03,0.67
1262,1.262,-0.9,0.0,0.31,0.1,0.22,0.0,0.63
1366,1.366,0.64,3.58,0.31,0.11,0.09,0.0,0.51
1468,1.468,-4.26,0.0,0.36,0.07,0.32,0.08,0.83
1570,1.57,1.15,4.8,0.31,0.12,0.16,0.0,0.59
1673,1.673,-4.27,0.0,0.31,0.15,0.19,0.05,0.7
1775,1.775,1.99,6.33,0.42,0.1,0.19,0.0,0.71
1878,1.878,-0.47,0.0,0.32,0.14,0.21,0.09,0.76
1979,1.979,0.93,4.31,0.27,0.16,0.09,0.05,0.5700000000000001
2083,2.083,-4.05,0.0,0.39,0.08,0.19,0.06,0.72
2184,2.184,0.93,4.31,0.4,0.05,0.19,0.0,0.64
2285,2.285,-0.9,0.0,0.31,0.09,0.28,0.11,0.79
2385,2.385,1.15,4.8,0.31,0.08,0.22,0.02,0.63
2487,2.487,2.33,6.85,0.38,0.06,0.18,0.0,0.62
2588,2.588,-0.27,0.0,0.34,0.08,0.29,0.09,0.7999999999999999
2689,2.689,0.35,2.67,0.36,0.07,0.24,0.0,0.6699999999999999
2790,2.79,-0.27,0.0,0.4,0.07,0.21,0.0,0.68
2890,2.89,0.24,2.18,0.34,0.11,0.15,0.06,0.6599999999999999
2992,2.992,1.26,5.04,0.32,0.07,0.21,0.0,0.6
3093,3.093,0.81,4.03,0.33,0.12,0.28,0.07,0.8
3194,3.194,-4.27,0.0,0.28,0.1,0.18,0.04,0.6000000000000001
3295,3.295,0.42,2.89,0.26,0.16,0.12,0.0,0.54
3396,3.396,-2.37,0.0,0.37,0.12,0.14,0.09,0.72
3497,3.497,0.92,4.3,0.32,0.14,0.12,0.0,0.5800000000000001
3602,3.602,-1.74,0.0,0.35,0.07,0.22,0.0,0.64
3702,3.702,-1.95,0.0,0.42,0.1,0.19,0.0,0.71
3803,3.803,1.88,6.15,0.42,0.06,0.18,0.0,0.6599999999999999
3904,3.904,0.87,4.17,0.31,0.05,0.18,0.0,0.54
4005,4.005,0.18,1.92,0.37,0.11,0.17,0.03,0.68
4107,4.107,0.58,3.42,0.35,0.12,0.22,0.0,0.69
4208,4.208,-1.32,0.0,0.36,0.11,0.17,0.06,0.7
