ms,s,p,v,dv0,dv1,dv2,dv3,sum
590,0.59,1.24,4.99,0.6,0.0,0.0,0.0,0.6
692,0.692,0.02,0.65,0.55,0.0,0.04,0.04,0.6300000000000001
793,0.793,-1.98,0.0,0.66,0.0,0.12,0.11,0.89
894,0.894,1.06,4.62,0.52,0.0,0.01,0.01,0.54
996,0.996,0.19,1.94,0.6,0.0,0.02,0.0,0.62
1097,1.097,-4.27,0.0,0.58,0.0,0.03,0.03,0.64
1198,1.198,-2.19,0.0,0.58,0.0,0.05,0.01,0.64
1298,1.298,1.88,6.15,0.62,0.0,0.08,0.0,0.7
1399,1.399,-3.05,0.0,0.55,0.0,0.0,0.0,0.55
1500,1.5,0.54,3.3,0.58,0.0,0.14,0.05,0.77
1601,1.601,0.36,2.7,0.62,0.02,0.09,0.13,0.86
1702,1.702,1.07,4.63,0.54,0.0,0.01,0.04,0.5900000000000001
1804,1.804,0.36,2.7,0.6,0.0,0.0,0.0,0.6
1905,1.905,-0.28,0.0,0.62,0.0,0.03,0.0,0.65
2010,2.01,-3.68,0.0,0.54,0.0,0.03,0.04,0.6100000000000001
2110,2.11,-0.49,0.0,0.62,0.0,0.08,0.05,0.75
2209,2.209,0.3,2.47,0.51,0.0,0.0,0.0,0.51
2309,2.309,-0.49,0.0,0.58,0.0,0.14,0.08,0.7999999999999999
2408,2.408,-1.13,0.0,0.61,0.0,0.05,0.13,0.79
2507,2.507,1.24,4.99,0.57,0.0,0.0,0.0,0.57
2607,2.607,0.02,0.65,0.64,0.0,0.02,0.0,0.66
2706,2.706,-3.9,0.0,0.54,0.0,0.08,0.13,0.75
2805,2.805,0.89,4.23,0.66,0.0,0.09,0.06,0.81
2905,2.905,1.07,4.63,0.63,0.0,0.0,0.0,0.63
3004,3.004,-2.62,0.0,0.54,0.0,0.0,0.02,0.56
3103,3.103,-1.13,0.0,0.6,0.0,0.07,0.09,0.7599999999999999
3203,3.203,0.89,4.23,0.59,0.01,0.17,0.1,0.87
3302,3.302,0.77,3.94,0.56,0.0,0.0,0.0,0.56
3401,3.401,1.01,4.5,0.59,0.0,0.1,0.0,0.69
3499,3.499,-4.27,0.0,0.55,0.0,0.07,0.12,0.7400000000000001
3598,3.598,0.13,1.61,0.65,0.0,0.09,0.07,0.81
3697,3.697,-0.28,0.0,0.58,0.0,0.0,0.0,0.58
3798,3.798,-2.41,0.0,0.56,0.0,0.01,0.0,0.5700000000000001
3897,3.897,-1.98,0.0,0.61,0.0,0.05,0.09,0.75
3996,3.996,1.01,4.5,0.59,0.0,0.08,0.1,0.7699999999999999
4096,4.096,1.3,5.12,0.62,0.0,0.02,0.0,0.64
4195,4.195,-3.9,0.0,0.58,0.0,0.02,0.02,0.62
4294,4.294,-4.27,0.0,0.54,0.01,0.05,0.16,0.7600000000000001
