ms,s,p,v,dv0,dv1,dv2,dv3,sum
592,0.592,1.06,4.61,0.69,0.0,0.0,0.25,0.94
693,0.693,-1.34,0.0,0.78,0.0,0.0,0.36,1.1400000000000001
792,0.792,1.52,5.53,0.79,0.0,0.02,0.31,1.12
892,0.892,0.3,2.46,0.63,0.0,0.0,0.32,0.95
993,0.993,1.0,4.47,0.72,0.0,0.03,0.39,1.1400000000000001
1093,1.093,0.71,3.77,0.74,0.0,0.0,0.29,1.03
1195,1.195,-1.34,0.0,0.68,0.0,0.0,0.41,1.09
1294,1.294,2.04,6.4,0.78,0.0,0.0,0.22,1.0
1394,1.394,0.24,2.2,0.74,0.0,0.0,0.33,1.07
1495,1.495,1.64,5.74,0.72,0.0,0.0,0.26,0.98
1595,1.595,0.77,3.92,0.72,0.0,0.0,0.34,1.06
1695,1.695,0.83,4.07,0.79,0.0,0.0,0.31,1.1
1796,1.796,0.65,3.61,0.66,0.0,0.0,0.28,0.9400000000000001
1896,1.896,1.17,4.86,0.7,0.0,0.0,0.36,1.06
2000,2.0,0.36,2.7,0.72,0.0,0.0,0.25,0.97
2101,2.101,-2.61,0.0,0.69,0.0,0.0,0.36,1.0499999999999998
2199,2.199,2.17,6.6,0.75,0.0,0.0,0.23,0.98
2297,2.297,0.18,1.92,0.79,0.0,0.0,0.36,1.15
2396,2.396,1.76,5.94,0.71,0.0,0.0,0.21,0.9199999999999999
2494,2.494,0.42,2.91,0.73,0.0,0.0,0.3,1.03
2592,2.592,1.35,5.22,0.75,0.0,0.0,0.25,1.0
2691,2.691,0.65,3.61,0.7,0.0,0.0,0.26,0.96
2789,2.789,0.65,3.61,0.67,0.0,0.0,0.21,0.88
2887,2.887,-1.76,0.0,0.74,0.0,0.0,0.33,1.07
2987,2.987,1.35,5.22,0.78,0.0,0.02,0.33,1.1300000000000001
3085,3.085,-4.27,0.0,0.67,0.0,0.0,0.34,1.01
3183,3.183,1.81,6.03,0.68,0.0,0.0,0.22,0.9
3281,3.281,-0.08,0.0,0.78,0.0,0.0,0.25,1.03
3380,3.38,0.71,3.77,0.79,0.0,0.0,0.31,1.1
3476,3.476,-2.4,0.0,0.71,0.0,0.0,0.27,0.98
3574,3.574,1.52,5.54,0.7,0.0,0.0,0.33,1.03
3673,3.673,0.71,3.77,0.77,0.0,0.0,0.23,1.0
3771,3.771,-2.19,0.0,0.71,0.0,0.0,0.37,1.08
3869,3.869,0.77,3.92,0.71,0.0,0.0,0.19,0.8999999999999999
3968,3.968,0.02,0.65,0.82,0.0,0.0,0.36,1.18
4066,4.066,1.11,4.73,0.75,0.0,0.0,0.24,0.99
4164,4.164,-1.34,0.0,0.7,0.0,0.0,0.34,1.04
4262,4.262,2.4,6.94,0.78,0.0,0.0,0.18,0.96
4361,4.361,1.0,4.49,0.81,0.0,0.0,0.36,1.17
4459,4.459,1.7,5.84,0.72,0.0,0.0,0.27,0.99
4557,4.557,-3.47,0.0,0.64,0.0,0.0,0.35,0.99
4656,4.656,0.65,3.61,0.7,0.0,0.0,0.29,0.99
4754,4.754,1.11,4.73,0.76,0.0,0.04,0.35,1.15
4855,4.855,1.0,4.49,0.72,0.0,0.0,0.21,0.9299999999999999
4954,4.954,-4.27,0.0,0.78,0.0,0.0,0.26,1.04
5052,5.052,-0.27,0.0,0.73,0.0,0.0,0.37,1.1
5150,5.15,1.3,5.1,0.74,0.0,0.0,0.2,0.94
5249,5.249,-0.7,0.0,0.71,0.0,0.0,0.28,0.99
5347,5.347,1.17,4.86,0.7,0.0,0.0,0.22,0.9199999999999999
5445,5.445,-1.12,0.0,0.75,0.0,0.0,0.31,1.06
5544,5.544,0.77,3.92,0.78,0.0,0.0,0.34,1.12
5643,5.643,0.36,2.7,0.73,0.0,0.0,0.21,0.94
5741,5.741,-1.55,0.0,0.78,0.0,0.04,0.34,1.1600000000000001
5839,5.839,1.7,5.84,0.72,0.0,0.0,0.23,0.95
5938,5.938,-2.19,0.0,0.72,0.0,0.0,0.28,1.0
6036,6.036,0.13,1.61,0.81,0.0,0.0,0.33,1.1400000000000001
6134,6.134,0.48,3.1,0.71,0.0,0.0,0.26,0.97
6236,6.236,-3.89,0.0,0.79,0.0,0.0,0.35,1.1400000000000001
6334,6.334,1.35,5.21,0.72,0.0,0.0,0.28,1.0
6432,6.432,0.83,4.08,0.75,0.0,0.0,0.24,0.99
6531,6.531,-4.1,0.0,0.68,0.0,0.0,0.36,1.04
6629,6.629,1.17,4.86,0.66,0.0,0.09,0.53,1.28
6727,6.727,0.48,3.1,0.71,0.0,0.09,0.4,1.2
6827,6.827,1.7,5.84,0.65,0.0,0.06,0.45,1.16
6925,6.925,0.42,2.91,0.68,0.0,0.08,0.67,1.4300000000000002
7023,7.023,-1.12,0.0,0.71,0.0,0.12,0.86,1.69
7121,7.121,0.48,3.1,0.66,0.0,0.24,1.18,2.08
7220,7.22,-3.68,0.0,0.6,0.0,0.4,1.37,2.37
7318,7.318,2.05,6.42,0.79,0.32,0.34,1.13,2.58
7417,7.417,-3.89,0.0,0.9,0.39,0.38,1.08,2.75
7516,7.516,0.71,3.77,0.97,0.63,0.31,0.96,2.87
7617,7.617,2.58,7.19,0.96,0.64,0.35,0.97,2.92
7716,7.716,-0.27,0.0,0.94,0.66,0.35,0.98,2.93
7815,7.815,1.0,4.49,0.95,0.57,0.35,0.95,2.8200000000000003
7914,7.914,2.05,6.42,0.89,0.63,0.37,0.95,2.84
8012,8.012,-3.04,0.0,0.92,0.6,0.39,0.99,2.9000000000000004
8111,8.111,1.59,5.65,0.92,0.66,0.39,1.01,2.9800000000000004
8209,8.209,0.65,3.61,0.91,0.61,0.37,1.01,2.9000000000000004
8307,8.307,1.3,5.1,0.94,0.59,0.34,0.93,2.8
8406,8.406,1.7,5.84,0.95,0.6,0.33,0.92,2.8
8504,8.504,0.19,1.94,0.92,0.61,0.28,0.87,2.68
8602,8.602,0.24,2.2,0.98,0.7,0.31,0.94,2.9299999999999997
8700,8.7,-0.27,0.0,0.94,0.65,0.37,0.91,2.87
8799,8.799,1.82,6.05,0.97,0.67,0.29,0.86,2.79
8897,8.897,-4.27,0.0,0.93,0.63,0.36,0.89,2.81
8998,8.998,0.94,4.35,0.92,0.65,0.37,0.93,2.87
9097,9.097,-4.27,0.0,0.91,0.65,0.33,0.97,2.8600000000000003
9195,9.195,0.94,4.35,0.93,0.58,0.33,0.94,2.7800000000000002
9293,9.293,1.17,4.86,0.93,0.65,0.38,0.99,2.95
9392,9.392,-2.19,0.0,0.91,0.63,0.36,0.97,2.87
9490,9.49,0.48,3.1,0.96,0.68,0.38,1.01,3.0300000000000002
9588,9.588,0.13,1.61,0.96,0.64,0.33,0.97,2.9000000000000004
9687,9.687,1.88,6.14,0.97,0.63,0.28,0.89,2.77
9785,9.785,0.13,1.61,0.93,0.64,0.4,0.95,2.92
9883,9.883,-1.34,0.0,0.91,0.64,0.36,0.95,2.8600000000000003
9982,9.982,1.76,5.95,0.96,0.67,0.37,1.02,3.02
10081,10.081,0.36,2.7,0.92,0.62,0.32,0.98,2.84
10179,10.179,1.3,5.11,1.0,0.58,0.29,0.93,2.8000000000000003
10277,10.277,-0.49,0.0,0.91,0.62,0.37,0.98,2.88
10376,10.376,-0.49,0.0,0.96,0.62,0.36,0.96,2.9
10477,10.477,-0.08,0.0,0.98,0.65,0.37,1.01,3.01
10575,10.575,-3.04,0.0,0.94,0.6,0.29,0.92,2.75
10674,10.674,1.64,5.74,0.97,0.62,0.28,0.9,2.77
10772,10.772,-4.27,0.0,0.91,0.63,0.39,0.94,2.87
10870,10.87,1.76,5.95,0.92,0.65,0.37,0.95,2.8899999999999997
10969,10.969,0.43,2.92,0.93,0.66,0.34,0.95,2.88
