ms,s,p,v,dv0,dv1,dv2,dv3,sum
219,0.219,1.09,4.67,0.43,0.0,0.09,0.0,0.52
322,0.322,-4.27,0.0,0.38,0.09,0.16,0.12,0.75
425,0.425,-4.06,0.0,0.46,0.06,0.15,0.13,0.8
532,0.532,0.52,3.25,0.48,0.0,0.19,0.0,0.6699999999999999
635,0.635,0.13,1.61,0.4,0.03,0.0,0.0,0.43000000000000005
739,0.739,-0.69,0.0,0.5,0.05,0.14,0.12,0.81
841,0.841,0.52,3.25,0.39,0.1,0.21,0.15,0.85
945,0.945,-1.11,0.0,0.4,0.08,0.01,0.03,0.52
1047,1.047,1.72,5.87,0.47,0.03,0.13,0.0,0.63
1152,1.152,-2.8,0.0,0.45,0.0,0.07,0.0,0.52
1254,1.254,-4.27,0.0,0.34,0.08,0.17,0.09,0.68
1356,1.356,0.75,3.88,0.43,0.05,0.21,0.05,0.74
1460,1.46,0.24,2.18,0.43,0.07,0.01,0.0,0.51
1563,1.563,-1.11,0.0,0.47,0.07,0.14,0.06,0.74
1666,1.666,0.53,3.26,0.38,0.08,0.23,0.1,0.79
1769,1.769,-4.27,0.0,0.38,0.06,0.03,0.01,0.48
1871,1.871,1.33,5.16,0.41,0.03,0.12,0.0,0.5599999999999999
1977,1.977,0.53,3.26,0.45,0.02,0.1,0.0,0.5700000000000001
2078,2.078,-2.17,0.0,0.45,0.01,0.11,0.08,0.65
2180,2.18,1.09,4.68,0.41,0.03,0.03,0.0,0.47
2281,2.281,0.3,2.44,0.46,0.06,0.13,0.08,0.73
2382,2.382,1.27,5.05,0.39,0.07,0.07,0.01,0.54
2484,2.484,-0.08,0.0,0.45,0.02,0.09,0.05,0.6100000000000001
2585,2.585,-1.32,0.0,0.42,0.07,0.11,0.13,0.73
2688,2.688,1.95,6.25,0.44,0.01,0.2,0.01,0.66
2789,2.789,0.18,1.92,0.44,0.02,0.01,0.0,0.47000000000000003
2890,2.89,-4.27,0.0,0.47,0.06,0.15,0.1,0.78
2992,2.992,0.81,4.04,0.41,0.05,0.0,0.01,0.47
3093,3.093,1.04,4.57,0.49,0.0,0.09,0.0,0.58
3194,3.194,-4.27,0.0,0.42,0.06,0.14,0.11,0.73
3296,3.296,-1.53,0.0,0.46,0.03,0.17,0.14,0.8
