,v,sum,dv0,dv1,dv2,dv3
case_1-1,31.193333333333328,1.0827777777777776,0.5917460317460318,0.33424528301886786,0.25846153846153846,0.4541666666666666
case_1-2,28.498550000000005,1.09185,0.6433507853403141,0.3040178571428571,0.2508823529411765,0.3621212121212121
case_2-1,30.297349999999998,1.515,0.8937,0.2675714285714287,0.17200000000000001,0.596280487804878
case_2-2,30.34045918367347,1.5549489795918365,0.8361224489795918,0.2578378378378378,0.18716666666666668,0.6247457627118644
case_2-3,33.3729,1.4908499999999998,0.8345,0.36419753086419754,0.2535443037974684,0.504567901234568
case_2-4,33.3729,1.4908499999999998,0.8345,0.36419753086419754,0.2535443037974684,0.504567901234568
case_3-1,30.460199004975124,1.89681592039801,0.7949253731343282,0.42583892617449665,0.44892857142857145,0.4548051948051948
case_3-2,29.847711442786068,1.3411442786069652,0.5725870646766169,0.3330232558139534,0.35648648648648656,0.36749999999999994
case_3-3,32.28807106598985,1.414467005076142,0.5787817258883249,0.34691729323308274,0.40612716763005774,0.39859504132231405
case_3-4,33.26293532338308,1.5042786069651741,0.62625,0.3672185430463576,0.4533888888888888,0.3608108108108108
case_3-5,33.516275510204075,1.484030612244898,0.6462564102564102,0.41233870967741937,0.4381645569620253,0.4008108108108107
case_3-6,34.478367346938775,1.5237755102040815,0.6442564102564102,0.41978571428571426,0.47231707317073174,0.3607843137254902
case_3-7,30.87939086294416,1.4241116751269036,0.5661734693877551,0.40393103448275863,0.33899408284023674,0.4039097744360902
case_4,33.232110552763814,1.4245226130653268,0.8586432160804021,0.23945205479452056,0.253,0.5365771812080536
