Time,rax,ray,raz,rgx,rgy,rgz
0.48,-0.01,-0.02,0.88,-4.11,-4.43,-0.41
0.508,-0.00909090909090909,-0.01909090909090909,0.8809090909090909,-4.114545454545454,-4.438181818181818,-0.4236363636363636
0.537,-0.009173553719008264,-0.017355371900826443,0.8817355371900826,-4.119586776859504,-4.453801652892561,-0.4460330578512396
0.566,-0.009248685199098421,-0.01486851990984222,0.8824868519909842,-4.13144252441773,-4.4680015026296,-0.44821187077385416
0.594,-0.009316986544634928,-0.014425927190765655,0.8831698654463492,-4.1449477494706635,-4.493637729663273,-0.44655624615804923
0.622,-0.008469987767849935,-0.014023570173423323,0.8828816958603174,-4.148134317700603,-4.503307026966611,-0.46596022378004476
0.651,-0.007699988879863577,-0.013657791066748476,0.8844379053275612,-4.156485743364184,-4.512097297242373,-0.4781456579818589
0.679,-0.007909080799875979,-0.012416173697044067,0.8858526412068737,-4.1731688576038035,-4.522815724765794,-0.4983142345289626
0.708,-0.0071900734544327076,-0.012196521542767335,0.8862296738244306,-4.180153506912549,-4.5461961134234485,-0.5093765768445114
0.737,-0.006536430413120643,-0.010178655947970303,0.8874815216585732,-4.180139551738681,-4.566541921294044,-0.5212514334950104
0.764,-0.005942209466473312,-0.009253323589063911,0.8886195651441574,-4.188308683398801,-4.585038110267313,-0.5365922122681912
0.793,-0.005402008605884829,-0.009321203262785373,0.8896541501310521,-4.187553348544364,-4.6063982820611935,-0.5596292838801737
0.822,-0.0058200078235316624,-0.009382912057077612,0.89059468193732,-4.1914121350403315,-4.623089347328357,-0.5714811671637943
0.852,-0.0062000071123015105,-0.009439010960979648,0.8905406199430183,-4.187647395491211,-4.612808497571234,-0.5649828792398129
0.881,-0.0056363701020922825,-0.007671828146345133,0.892309654493653,-4.18422490499201,-4.62891681597385,-0.5736207993089208
0.91,-0.005123972820083893,-0.006974389223950121,0.8930087768124118,-4.202931731810918,-4.640833469067136,-0.5723825448262917
0.939,-0.004658157109167176,-0.005431262930863746,0.8945534334658288,-4.206301574373562,-4.638030426424669,-0.5712568589329924
0.967,-0.004234688281061069,-0.0049375117553306785,0.8959576667871171,-4.209365067612329,-4.642754933113335,-0.5793244172118113
0.995,-0.004758807528237335,-0.005397737959391526,0.8963251516246519,-4.20851369782939,-4.655231757375759,-0.5766585611016466
1.024,-0.004326188662033941,-0.0039979435994468415,0.8984774105678653,-4.2131942707539904,-4.6820288703415995,-0.5860532373651333
1.052,-0.003932898783667219,-0.0036344941813153103,0.8986158277889684,-4.221994791594537,-4.6900262457650905,-0.5836847612410302
1.081,-0.003575362530606562,-0.004213176528468463,0.8996507525354258,-4.238177083267761,-4.684569314331901,-0.5951679647645729
1.11,-0.0032503295732786925,-0.0029210695713349664,0.8996825023049325,-4.223797348425237,-4.691426649392636,-0.5910617861496118
1.138,-0.002954845066616993,-0.0008373359739408783,0.9006204566408478,-4.2252703167502155,-4.688569681266033,-0.5855107146814653
1.167,-0.0026862227878336298,-0.001670305430855344,0.9023822333098616,-4.22388210613656,-4.703245164787302,-0.5868279224376958
1.196,-0.0024420207162123907,-0.0015184594825957672,0.9012565757362377,-4.222620096487781,-4.722041058897547,-0.5880253840342688
1.226,-0.0031291097420112638,-0.0022895086205416064,0.9020514324874889,-4.22874554226162,-4.719128235361406,-0.5972958036675171
1.255,-0.00284464522001024,-0.0029904623823105514,0.9027740295340808,-4.2297686747832905,-4.729207486692188,-0.5911780033341065
1.291,-0.003495132018191127,-0.002718602165736865,0.9034309359400735,-4.239789704348446,-4.731097715174716,-0.5865254575764605
1.328,-0.0031773927438101153,-0.0024714565143062407,0.903119032672794,-4.243445185771314,-4.748270650158832,-0.5841140523422368
1.356,-0.0028885388580091958,-0.004064960467551127,0.9037445751570855,-4.245859259792104,-4.7547915001443934,-0.5928309566747607
1.385,-0.002625944416371996,-0.003695418606864661,0.9043132501428051,-4.24259932708373,-4.75890136376763,-0.5934826878861461
